"Protocol ID","Secondary IDs","ClinicalTrials.gov ID","Brief Title","Overall Status","Study Type","Phase","Intervention Types","U.S. FDA Regulated Drug","U.S. FDA Regulated Device","U.S. FDA IND/IDE Information","Locations in US","Start Date","Primary Completion Date","Primary Completion Date Type","Study Completion Date","Study Completion Date Type","Delayed Results Type","Plan to Share IPD?","Available IPD/Information","Study Documents","Initial Release","Initial Results Release","Initial Delayed Results Release","Verification Date","Record Status","NIH Grants","Results Status","Unreported Primary Outcomes","Unreported Secondary Outcomes","Delayed Results Status","Last Update","Last Release","Record Owner","Last Updater","Responsible Party","Central Contacts","Study Officials","Sponsor","Collaborators","Public Site Status","Initial Public Release","Last Public Release","FDAAA Status","Problems","Update Expected","Corrections Expected","Results Expected","All Results Expected","Review Comments Status"
"471",291,522,"Title 696","Completed","Interventional","N/A","Behavioral",,,,,"01/23/2014","11/23/2016","Actual","11/23/2016","Actual",,,,,"02/08/2014",,,"12/24/2016","Public",,,,,,"12/17/2016","12/17/2016","ro_name_DGG
ro_name_DGG@email.com","lu_name_AAB
lu_name_AAB@email.com","[Sponsor]","cc_name_AAC
cc_name_AAC@email.com
(555) 555-5555","so_name_BFI","University","Handhold Adaptive","Public Site Status","02/08/2014","12/17/2016",,,,,,,
"472",241,535,"Title 511","Completed","Interventional","N/A","Behavioral",,,,,"04/25/2014","04/24/2016","Actual","04/24/2016","Actual",,,,,"05/02/2014","10/20/2020",,"09/23/2021","Public","NCCAM","Posted",,,,"09/13/2021","09/13/2021","ro_name_CHB
ro_name_CHB@email.com","lu_name_AAB
lu_name_AAB@email.com","[Sponsor]","cc_name_GJC
cc_name_GJC@email.com
555-555-5555","so_name_FHA","University","National Center for Complementary and Integrative Health (NCCIH)","Public Site Status","05/02/2014","09/13/2021",,,,,,,
"473",,544,"Title 37","Terminated","Interventional","N/A","Procedure/Surgery",,,,,"05/26/2014","08/26/2018","Actual","02/23/2019","Actual",,,,,"06/08/2014",,,"12/24/2019","Public",,,,,,"12/31/2019","12/31/2019","ro_name_BJC
ro_name_BJC@email.com","lu_name_AAB
lu_name_AAB@email.com","[Sponsor]","cc_name_CDI
cc_name_CDI@email.com
555-555-5555","so_name_CEB","University",,"Public Site Status","06/08/2014","12/31/2019",,,,,,,
"474",,617,"Title 532","Completed","Interventional","Phase 1","Drug; Other",,,,,"04/28/2015","01/21/2017","Actual","12/16/2017","Actual",,,,,"12/28/2014",,,"10/24/2020","Public",,,,,,"11/03/2020","11/03/2020","ro_name_IC
ro_name_IC@email.com","lu_name_AAB
lu_name_AAB@email.com","[Sponsor]","cc_name_CD
cc_name_CD@email.com
555-555-5555","so_name_AEE","University",,"Public Site Status","12/31/2014","11/03/2020",,,,,,,
"475",,871,"Title 533","Completed","Interventional","Phase 1","Drug; Other","FDA regulated drug","No FDA regulated device",,,"11/05/2017","02/25/2019","Actual","08/31/2019","Actual",,,,,"10/31/2017",,,"10/24/2020","Public",,,,,,"11/03/2020","11/03/2020","ro_name_IC
ro_name_IC@email.com","lu_name_AAB
lu_name_AAB@email.com","[Sponsor]","cc_name_CAD
cc_name_CAD@email.com
555-555-5555","so_name_AED","University",,"Public Site Status","11/27/2017","11/03/2020",,,,,,,
"476",,528,"Title 81","Completed","Interventional","Early Phase 1","Drug; Device",,,,,"03/26/2014","06/24/2016","Actual","01/23/2017","Actual",,,,,"01/20/2014",,,"11/23/2022","Public",,,,,,"11/20/2022","11/20/2022","ro_name_DGG
ro_name_DGG@email.com","lu_name_CI
lu_name_CI@email.com","[Sponsor]","cc_name_ECB
cc_name_ECB@email.com
555-555-5555","so_name_BAA","University",,"Public Site Status","03/19/2014","11/20/2022",,,,,,,
"477",,524,"Title 23","Completed","Interventional","Phase 2","Drug",,,,,"03/26/2014","12/24/2018","Actual","02/23/2020","Actual",,,,,"02/22/2014","03/08/2020",,"09/23/2020","Public",,"Posted",,,,"09/20/2020","09/20/2020","ro_name_BDC
ro_name_BDC@email.com","lu_name_AAB
lu_name_AAB@email.com","[Sponsor]","cc_name_FEA
cc_name_FEA@email.com
555-555-5555",,"University",,"Public Site Status","02/22/2014","09/20/2020","pACT",,,,,,
"478",,600,"Title 658","Completed","Interventional","N/A","Behavioral",,,,,"12/24/2014","10/24/2016","Actual","07/26/2017","Actual",,,,,"11/24/2014",,,"12/24/2016","Public",,,,,,"10/29/2017","10/29/2017","ro_name_DGG
ro_name_DGG@email.com","lu_name_BJH
lu_name_BJH@email.com","[Sponsor]","cc_name_BJF
cc_name_BJF@email.com
555-555-5555","so_name_AID","University",,"Public Site Status","11/25/2014","10/29/2017",,,,,,,
"479",510,414,"Title 1078","Terminated","Interventional","Phase 2","Drug","No FDA regulated drug","No FDA regulated device",,,"03/26/2014","01/23/2015","Actual","01/23/2015","Actual",,,,,"09/24/2012","02/03/2016",,"03/26/2022","Public","NINDS","Posted",,,,"03/07/2022","03/07/2022","ro_name_DGG
ro_name_DGG@email.com","lu_name_BCF
lu_name_BCF@email.com","[Sponsor]","cc_name_DHD
cc_name_DHD@email.com
+555-555-555-555","so_name_CG","University","National Institute of Neurological Disorders and Stroke (NINDS)
Kenya Medical Research Institute
Bausch Health Americas, Inc.
University of Nairobi","Public Site Status","09/24/2012","03/07/2022",,,,,,,
"480",,552,"Title 29","Completed","Interventional","N/A","Dietary Supplement",,,,,"07/26/2014","09/23/2015","Actual","09/23/2015","Actual",,,,,"06/17/2014",,,"12/24/2018","Public",,,,,,"12/29/2018","12/29/2018","ro_name_BJI
ro_name_BJI@email.com","lu_name_AAB
lu_name_AAB@email.com","[Sponsor]","cc_name_FGH
cc_name_FGH@email.com
5555555555","so_name_CGE","University",,"Public Site Status","07/13/2014","12/29/2018",,,,,,,
"481",89,858,"Title 1241","Recruiting","Observational","Phase 1","Drug","FDA regulated drug",,,,"06/25/2017","12/24/2022","Anticipated","06/25/2023","Anticipated",,,,,"06/27/2017",,,"07/26/2022","Public","NIDA",,,,,"08/02/2022","08/02/2022","ro_name_CFD
ro_name_CFD@email.com","lu_name_AHC
lu_name_AHC@email.com","rp_name_IG","cc_name_BA
cc_name_BA@email.com
555-555-5555","so_name_FEB","University","National Institute on Drug Abuse (NIDA)","Public Site Status","10/04/2017","08/02/2022",,,"07/26/2023",,,,
"482",16,946,"Title 209","Recruiting","Interventional","N/A","Other","No FDA regulated drug","No FDA regulated device",,,"11/04/2018","06/25/2023","Anticipated","06/25/2023","Anticipated",,,,,"09/09/2018",,,"04/25/2022","Public","NIDA; NIH",,,,,"04/19/2022","04/19/2022","ro_name_AAJ
ro_name_AAJ@email.com","lu_name_BCF
lu_name_BCF@email.com","[Sponsor]","cc_name_BJD
cc_name_BJD@email.com
555-555-5555 Ext: 5555","so_name_AHF","University","National Institutes of Health (NIH)
National Institute on Drug Abuse (NIDA)","Public Site Status","11/19/2018","04/19/2022",,,"04/25/2023",,,,
"483",,538,"Title 1093","Terminated","Interventional","Phase 2","Drug; Behavioral",,,,,"04/25/2014","03/26/2015","Actual","03/26/2015","Actual",,,,,"05/05/2014","09/17/2016",,"10/24/2016","Public",,"Posted",,,,"10/17/2016","10/17/2016","ro_name_DGG
ro_name_DGG@email.com","lu_name_BE
lu_name_BE@email.com","[Sponsor]","cc_name_HHB
cc_name_HHB@email.com
555-555-5555","so_name_HDD","University",,"Public Site Status","05/05/2014","10/17/2016","pACT",,,,,,
"484",236,643,"Title 645","Completed","Interventional","N/A","Other",,,,,"07/06/2016","03/05/2020","Actual","03/05/2020","Actual",,,,,"04/07/2015",,,"05/26/2021","Public","NIEHS",,,,,"05/25/2021","05/25/2021","ro_name_BDD
ro_name_BDD@email.com","lu_name_AAB
lu_name_AAB@email.com","[Sponsor]","cc_name_AJJ
cc_name_AJJ@email.com
555-555-5555","so_name_AJA","University","Harvard University
National Institute of Environmental Health Sciences (NIEHS)","Public Site Status","04/07/2015","05/25/2021",,,,,,,
"485",82,537,"Title 1229","Completed","Interventional","N/A","Dietary Supplement",,,,,"04/25/2014","04/25/2018","Actual","04/25/2018","Actual",,,,,"03/17/2014",,,"12/24/2018","Public","NCI",,,,,"12/29/2018","12/29/2018","ro_name_IE
ro_name_IE@email.com","lu_name_AAB
lu_name_AAB@email.com","[Sponsor]","cc_name_AGG
cc_name_AGG@email.com
5555555555 Ext: 555","so_name_AEG","University","National Cancer Institute (NCI)","Public Site Status","05/03/2014","12/29/2018",,,,,,,
"486",,550,"Title 31","Completed","Interventional","Phase 1","Drug",,,,,"07/26/2014","07/25/2020","Actual","07/25/2020","Actual",,,,,"06/23/2014","09/01/2020",,"09/23/2020","Public",,"Posted",,,,"09/22/2020","09/22/2020","ro_name_GE
ro_name_GE@email.com","lu_name_AAB
lu_name_AAB@email.com","[Sponsor]","cc_name_FID
cc_name_FID@email.com
555 555 5555 Ext: 5555","so_name_ACA","University","National Center for PTSD","Public Site Status","06/23/2014","09/22/2020",,,,,,,
"487",446,606,"Title 359","Completed","Interventional","Phase 2","Drug","No FDA regulated drug","No FDA regulated device",,,"12/24/2014","10/04/2020","Actual","10/04/2020","Actual",,,,,"11/26/2014","09/25/2021",,"01/23/2022","Public","NIAAA","Posted",,,,"01/09/2022","01/09/2022","ro_name_DBA
ro_name_DBA@email.com","lu_name_BAB
lu_name_BAB@email.com","rp_name_ABJ","cc_name_DA
cc_name_DA@email.com
555-555-5555","so_name_GEI","University","National Institute on Alcohol Abuse and Alcoholism (NIAAA)","Public Site Status","12/16/2014","01/09/2022",,,,,,,
"488",,640,"Title 676","Completed","Interventional","Phase 0","Drug; Other",,,,,"03/26/2015","06/24/2016","Actual","06/24/2016","Actual",,,,,"03/10/2015","06/03/2017",,"07/26/2018","Public",,"Posted",,,,"07/18/2018","07/18/2018","ro_name_AGE
ro_name_AGE@email.com","lu_name_AAB
lu_name_AAB@email.com","[Sponsor]","cc_name_EAD
cc_name_EAD@email.com
5555555555","so_name_DIA","University","Anna Freud Centre","Public Site Status","03/15/2015","07/18/2018",,,,,,,
"489",67,579,"Title 1221","Completed","Interventional","N/A","Drug",,,,,"09/29/2014","01/14/2017","Actual","01/14/2017","Actual",,,,,"04/12/2014","05/28/2018",,"09/23/2020","Public","NIDA","Posted",,,,"09/08/2020","09/08/2020","ro_name_CBE
ro_name_CBE@email.com","lu_name_AFE
lu_name_AFE@email.com","rp_name_HG",,"so_name_EFE","University","National Institute on Drug Abuse (NIDA)","Public Site Status","10/01/2014","09/08/2020","pACT",,,,,,
"490",118,574,"Title 1127","Completed","Interventional","N/A","Behavioral",,,,,"08/07/2014","09/01/2020","Actual","02/21/2021","Actual",,,,,"08/26/2014",,,"10/24/2022","Public","NIMH",,,,,"10/23/2022","10/23/2022","ro_name_DGA
ro_name_DGA@email.com","lu_name_BCF
lu_name_BCF@email.com","[Sponsor]","cc_name_FIA
cc_name_FIA@email.com
555-555-5555","so_name_HCF","University","Harvard University
National Institute of Mental Health (NIMH)","Public Site Status","08/26/2014","10/23/2022",,,,,,,
"491",,647,"Title 1002","Completed","Interventional","N/A","Behavioral","No FDA regulated drug","No FDA regulated device",,,"10/24/2014","03/26/2017","Actual","03/26/2017","Actual",,,,,"10/04/2014",,,"07/26/2018","Public",,,,,,"07/18/2018","07/18/2018","ro_name_BIE
ro_name_BIE@email.com","lu_name_AAB
lu_name_AAB@email.com","[Sponsor]","cc_name_AEG
cc_name_AEG@email.com
555-555-5555","so_name_ADI","University","Patient-Centered Outcomes Research Institute","Public Site Status","04/12/2015","07/18/2018",,,,,,,
"493",,576,"Title 713","Completed","Interventional","Early Phase 1","Drug; Other",,,,,"07/08/2015","04/02/2017","Actual","04/02/2017","Actual",,,,,"09/08/2014","09/08/2020",,"08/26/2021","Public",,"Posted",,,,"08/28/2021","08/28/2021","ro_name_CCJ
ro_name_CCJ@email.com","lu_name_AAB
lu_name_AAB@email.com","[Sponsor]","cc_name_DG
cc_name_DG@email.com
555-555-5555","so_name_EHE","University","Patterson Trust Awards Program in Clinical Research","Public Site Status","09/10/2014","08/28/2021",,,,,,,
"494",,580,"Title 990","Active, not recruiting","Interventional","Early Phase 1","Drug",,,,,"07/26/2014","12/24/2022","Anticipated","06/25/2023","Anticipated",,,,,"09/29/2014",,,"07/26/2022","Public",,,,,,"07/25/2022","07/25/2022","ro_name_CDB
ro_name_CDB@email.com","lu_name_AGF
lu_name_AGF@email.com","rp_name_IB","cc_name_ADG
cc_name_ADG@email.com
555-555-5555 Ext: 5555","so_name_FJF","University",,"Public Site Status","10/01/2014","07/25/2022",,,"07/26/2023",,,,
"495",,572,"Title 76","Completed","Observational",,,,,,,"08/26/2014","07/25/2016","Actual","05/23/2017","Actual",,,,,"08/24/2014",,,"07/26/2018","Public",,,,,,"07/18/2018","07/18/2018","ro_name_BFJ
ro_name_BFJ@email.com","lu_name_AAB
lu_name_AAB@email.com","[Sponsor]","cc_name_EAE
cc_name_EAE@email.com
555-555-5555","so_name_DDB","University",,"Public Site Status","08/24/2014","07/18/2018",,,,,,,
"496",239,829,"Title 664","Completed","Observational",,,,,,,"10/24/2015","12/24/2019","Actual","09/23/2020","Actual",,,,,"07/11/2017",,,"09/23/2020","Public","NINR",,,,,"09/20/2020","09/21/2020","ro_name_DGG
ro_name_DGG@email.com","lu_name_ADA
lu_name_ADA@email.com","[Sponsor]","cc_name_CDD
cc_name_CDD@email.com
555-555-5555","so_name_CDF","University","National Institute of Nursing Research (NINR)
Emory University","Public Site Status","07/11/2017","09/21/2020",,,,,,,
"497",,551,"Title 488","Completed","Observational","N/A","Other","No FDA regulated drug","No FDA regulated device",,,"07/07/2014","07/06/2021","Actual","07/06/2021","Actual",,,,,"06/17/2014",,,"09/23/2021","Public",,,,,,"09/22/2021","09/22/2021","ro_name_BDJ
ro_name_BDJ@email.com","lu_name_ABC
lu_name_ABC@email.com","[Sponsor]","cc_name_DBA
cc_name_DBA@email.com
555-555-5555","so_name_DAG","University","Michigan State University","Public Site Status","06/24/2014","09/22/2021",,,,,,,
"498",223,658,"Title 502","Completed","Interventional","N/A","Behavioral",,,,,"05/26/2015","05/26/2019","Actual","05/26/2019","Actual",,,,,"06/08/2015",,,"09/23/2020","Public","NIMH",,,,,"09/07/2020","09/07/2020","ro_name_ABC
ro_name_ABC@email.com","lu_name_BCF
lu_name_BCF@email.com","[Sponsor]","cc_name_BCF
cc_name_BCF@email.com
5555555555",,"University","National Institute of Mental Health (NIMH)","Public Site Status","06/08/2015","09/07/2020",,,,,,,
"499",379,562,"Title 1302","Withdrawn","Interventional","Phase 1/Phase 2","Drug",,,,,"12/24/2014","04/25/2018","Actual","04/25/2018","Actual",,,,,"08/02/2014",,,"01/23/2021","Public","NIDDK",,,,,"01/06/2021","01/06/2021","ro_name_DGG
ro_name_DGG@email.com","lu_name_BCF
lu_name_BCF@email.com","[Sponsor]","cc_name_AIE
cc_name_AIE@email.com
555-555-5555","so_name_CBD","University","National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK)","Public Site Status","08/02/2014","01/06/2021",,,,,,,
"500",139,589,"Title 571","Active, not recruiting","Interventional","Phase 1","Drug; Diagnostic Test",,,,,"08/26/2014","07/26/2023","Anticipated","05/25/2024","Anticipated",,,,,"10/26/2014",,,"11/23/2022","Public","NIDA",,,,,"11/23/2022","11/23/2022","ro_name_AFC
ro_name_AFC@email.com","lu_name_HE
lu_name_HE@email.com","[Sponsor]","cc_name_CGI
cc_name_CGI@email.com
555-555-5555","so_name_BIE","University","National Institute on Drug Abuse (NIDA)","Public Site Status","10/28/2014","11/23/2022",,,"11/23/2023",,,,
"501",569,632,"Title 85","Completed","Observational","N/A",,,,,,"06/25/2015","03/06/2021","Actual","03/06/2021","Actual",,,,,"01/31/2015",,,"08/26/2021","Public",,,,,,"08/31/2021","09/01/2021","ro_name_CGC
ro_name_CGC@email.com","lu_name_AHE
lu_name_AHE@email.com","[Sponsor]","cc_name_AJA
cc_name_AJA@email.com
555-555-5555","so_name_AJB","University","Yale University","Public Site Status","01/31/2015","09/01/2021",,,,,,,
"502",128,621,"Title 780","Completed","Interventional","Phase 1","Drug",,,,,"01/04/2016","05/07/2019","Actual","05/07/2019","Actual",,,,,"01/11/2015",,,"09/23/2020","Public","NIAAA",,,,,"09/07/2020","09/07/2020","ro_name_ACA
ro_name_ACA@email.com","lu_name_BCF
lu_name_BCF@email.com","[Sponsor]","cc_name_BEB
cc_name_BEB@email.com
(555) 555-5555 Ext: 5555","so_name_CDJ","University","United States Department of Defense
National Institute on Alcohol Abuse and Alcoholism (NIAAA)","Public Site Status","01/11/2015","09/07/2020",,,,,,,
"503",,566,"Title 1028","Completed","Interventional","Phase 4","Drug",,,,,"10/24/2014","05/25/2016","Actual","05/25/2016","Actual",,,,,"08/05/2014","05/28/2017",,"08/26/2017","Public",,"Posted",,,,"10/14/2017","10/14/2017","ro_name_EC
ro_name_EC@email.com","lu_name_AAB
lu_name_AAB@email.com","[Sponsor]","cc_name_EIB
cc_name_EIB@email.com
555-555-5555","so_name_GG","University","Gilead Sciences","Public Site Status","08/05/2014","10/14/2017","pACT",,,,,,
"505",,588,"Title 457","Active, not recruiting","Interventional","N/A","Behavioral",,,,,"10/24/2014","10/24/2023","Anticipated","10/24/2023","Anticipated",,,,,"10/09/2014",,,"11/23/2022","Public",,,,,,"11/20/2022","11/20/2022","ro_name_AII
ro_name_AII@email.com","lu_name_AJJ
lu_name_AJJ@email.com","[Sponsor]","cc_name_FFD
cc_name_FFD@email.com
555-555-5555",,"University",,"Public Site Status","10/20/2014","11/20/2022",,,"11/23/2023",,,,
"506",125,612,"Title 111","Completed","Interventional","Phase 1","Drug",,,,,"08/03/2015","12/17/2018","Actual","12/17/2018","Actual",,,,,"11/25/2014",,,"09/23/2020","Public","NINDS; NIMH",,,,,"09/07/2020","09/07/2020","ro_name_DAF
ro_name_DAF@email.com","lu_name_BCF
lu_name_BCF@email.com","[Sponsor]",,"so_name_GEG","University","National Institute of Neurological Disorders and Stroke (NINDS)
South East Asia Research Collaboration with Hawaii
University of California, San Francisco
Walter Reed Army Institute of Research (WRAIR)
University of Hawaii
National Institute of Mental Health (NIMH)","Public Site Status","12/23/2014","09/07/2020",,,,,,,
"507",162,585,"Title 145","Completed","Interventional","Phase 2","Drug",,,,,"11/23/2014","01/23/2018","Actual","11/23/2018","Actual",,,,,"10/11/2014","02/03/2019",,"09/23/2020","Public","NINDS","Posted",,,,"09/07/2020","09/07/2020","ro_name_CIJ
ro_name_CIJ@email.com","lu_name_BCF
lu_name_BCF@email.com","[Sponsor]",,"so_name_FIG","University","National Institute of Neurological Disorders and Stroke (NINDS)","Public Site Status","10/11/2014","09/07/2020","pACT",,,,,,
"508",,587,"Title 100","Completed","Observational",,,,,,,"10/24/2014","10/24/2016","Actual","10/24/2016","Actual",,,,,"10/20/2014",,,"11/23/2016","Public",,,,,,"11/14/2016","11/14/2016","ro_name_AEA
ro_name_AEA@email.com","lu_name_BE
lu_name_BE@email.com","[Sponsor]","cc_name_BHB
cc_name_BHB@email.com
555-555-5555","so_name_BEH","University",,"Public Site Status","10/20/2014","11/14/2016",,,,,,,
"509",,561,"Title 1020","Terminated","Interventional","Early Phase 1","Drug",,,,,"07/26/2015","09/23/2021","Actual","09/23/2021","Actual",,,,,"07/30/2014",,,"11/23/2021","Public",,,,,,"11/16/2021","11/16/2021","ro_name_EB
ro_name_EB@email.com","lu_name_AAB
lu_name_AAB@email.com","[Sponsor]","cc_name_GHH
cc_name_GHH@email.com
5555555555","so_name_GEC","University",,"Public Site Status","07/30/2014","11/16/2021",,,,,,,
"510",309,577,"Title 781","Completed","Interventional","Phase 2","Drug",,,,,"09/23/2014","09/01/2020","Actual","09/01/2020","Actual",,,,,"09/13/2014","08/29/2021",,"08/26/2021","Public",,"Posted",,,,"09/21/2021","09/25/2021","ro_name_AFI
ro_name_AFI@email.com","lu_name_AAB
lu_name_AAB@email.com","rp_name_DI","cc_name_DGD
cc_name_DGD@email.com
555-555-5555","so_name_CJI","University",,"Public Site Status","09/13/2014","09/25/2021","pACT",,,,,,
"511",,859,"Title 333","Completed","Interventional","N/A","Behavioral",,,,,"07/26/2017","09/23/2017","Actual","09/23/2018","Actual",,,,,"06/24/2017",,,"04/25/2019","Public",,,,,,"04/22/2019","04/22/2019","ro_name_BIF
ro_name_BIF@email.com","lu_name_AEB
lu_name_AEB@email.com","[Sponsor]","cc_name_HFA
cc_name_HFA@email.com
555-555-5555","so_name_EJG","University",,"Public Site Status","10/08/2017","04/22/2019",,,,,,,
"512",,688,"Title 763","Terminated","Observational",,"Procedure/Surgery",,,,,"07/26/2015","12/31/2017","Actual","12/31/2017","Actual",,,,,"06/24/2015",,,"11/23/2019","Public",,,,,,"11/26/2019","11/26/2019","ro_name_DFH
ro_name_DFH@email.com","lu_name_AAB
lu_name_AAB@email.com","[Sponsor]","cc_name_HGJ
cc_name_HGJ@email.com
555-555-5555","so_name_HCA","University",,"Public Site Status","11/01/2015","11/26/2019",,,,,,,
"513",452,575,"Title 1187","Completed","Interventional","Phase 1","Drug; Behavioral; Other",,,,,"11/23/2014","04/25/2015","Actual","04/25/2015","Actual",,,,,"09/07/2014",,,"09/23/2020","Public","NCI; NIH",,,,,"09/07/2020","09/07/2020","ro_name_DCE
ro_name_DCE@email.com","lu_name_AAB
lu_name_AAB@email.com","[Sponsor]","cc_name_HAE
cc_name_HAE@email.com
555-555-5555","so_name_GHC","University","National Cancer Institute (NCI)
National Institutes of Health (NIH)","Public Site Status","09/07/2014","09/07/2020",,,,,,,
"514",,995,"Title 334","Completed","Interventional","N/A","Device","No FDA regulated drug","No FDA regulated device",,,"04/30/2018","10/27/2018","Actual","04/03/2019","Actual",,,,,"04/28/2019",,,"04/25/2019","Public",,,,,,"04/30/2019","04/30/2019","ro_name_BIF
ro_name_BIF@email.com","lu_name_AAB
lu_name_AAB@email.com","[Sponsor]","cc_name_DFG
cc_name_DFG@email.com
555-555-5555","so_name_EJI","University",,"Public Site Status","04/30/2019","04/30/2019",,,,,,,
"515",,605,"Title 1009","Completed","Observational",,,,,,,"11/23/2014","05/06/2020","Actual","05/06/2020","Actual",,,,,"12/03/2014","11/24/2020",,"07/26/2021","Public",,"Posted",,,,"07/27/2021","07/27/2021","ro_name_CGC
ro_name_CGC@email.com","lu_name_BCF
lu_name_BCF@email.com","[Sponsor]",,"so_name_FFC","University",,"Public Site Status","12/03/2014","07/27/2021",,,,,,,
"516",,667,"Title 803","Terminated","Interventional","Early Phase 1","Drug",,,,,"11/05/2014","03/22/2015","Actual","03/22/2015","Actual",,,,,"07/11/2015",,,"07/26/2022","Public",,,,,,"07/25/2022","07/25/2022","ro_name_CDB
ro_name_CDB@email.com","lu_name_AGF
lu_name_AGF@email.com","rp_name_IB","cc_name_ADG
cc_name_ADG@email.com
555-555-5555 Ext: 5555","so_name_FJF","University",,"Public Site Status","07/12/2015","07/25/2022",,,,,,,
"517",318,626,"Title 1339","Completed","Interventional","Phase 0","Drug",,,,,"01/23/2015","07/26/2015","Actual","12/24/2015","Actual",,,,,"01/17/2015",,,"09/23/2020","Public","NIAAA",,,,,"09/13/2020","09/13/2020","ro_name_BHH
ro_name_BHH@email.com","lu_name_BCF
lu_name_BCF@email.com","[Sponsor]","cc_name_HDE
cc_name_HDE@email.com
555-555-5555","so_name_DIE","University","National Institute on Alcohol Abuse and Alcoholism (NIAAA)","Public Site Status","01/18/2015","09/13/2020",,,,,,,
"518",,660,"Title 228","Terminated","Interventional","N/A","Behavioral",,,,,"01/23/2015","12/24/2016","Actual","12/24/2016","Actual",,,,,"06/13/2015",,,"04/25/2017","Public",,,,,,"04/18/2017","04/18/2017","ro_name_AFB
ro_name_AFB@email.com","lu_name_BE
lu_name_BE@email.com","[Sponsor]","cc_name_BE
cc_name_BE@email.com
","so_name_BIC","University",,"Public Site Status","06/13/2015","04/18/2017",,,,,,,
"519",,729,"Title 1103","Terminated","Interventional","Phase 2","Drug",,,,,"05/25/2016","03/26/2017","Actual","03/26/2017","Actual",,,,,"04/16/2016","05/09/2018",,"07/26/2018","Public",,"Posted",,,,"08/05/2018","08/05/2018","ro_name_DGG
ro_name_DGG@email.com","lu_name_AAB
lu_name_AAB@email.com","[Sponsor]","cc_name_DGC
cc_name_DGC@email.com
(555)-555-5555","so_name_GBB","University",,"Public Site Status","05/01/2016","08/05/2018","pACT",,,,,,
"520",,602,"Title 1321","Terminated","Interventional","N/A","Drug; Other",,,,,"11/23/2014","12/13/2014","Actual","12/13/2014","Actual",,,,,"11/23/2014","04/13/2021",,"08/26/2021","Public",,"Posted",,,,"08/29/2021","08/30/2021","ro_name_AFC
ro_name_AFC@email.com","lu_name_BH
lu_name_BH@email.com","[Sponsor]","cc_name_CGI
cc_name_CGI@email.com
555-555-5555","so_name_GAJ","University",,"Public Site Status","12/01/2014","08/30/2021","pACT",,,,,,
"521",,635,"Title 1061","Terminated","Observational","N/A","Drug",,,,,"02/23/2015","10/24/2016","Actual","10/24/2016","Actual",,,,,"02/15/2015",,,"03/26/2017","Public",,,,,,"03/08/2017","03/08/2017","ro_name_DGG
ro_name_DGG@email.com","lu_name_AAB
lu_name_AAB@email.com","[Sponsor]","cc_name_FA
cc_name_FA@email.com
555-555-5555","so_name_AFJ","University",,"Public Site Status","02/17/2015","03/08/2017",,,,,,,
"522",548,594,"Title 985","Completed","Interventional","Phase 0","Device; Other",,,,,"07/26/2015","12/24/2016","Actual","06/25/2017","Actual",,,,,"10/20/2014",,,"10/24/2020","Public","NIDDK",,,,,"10/20/2020","10/20/2020","ro_name_BAD
ro_name_BAD@email.com","lu_name_AAA
lu_name_AAA@email.com","rp_name_FD","cc_name_ECB
cc_name_ECB@email.com
555-555-5555","so_name_CGI","University","National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK)","Public Site Status","11/10/2014","10/20/2020",,,,,,,
"523",,679,"Title 792","Completed","Interventional","N/A","Behavioral",,,,,"11/23/2014","03/26/2017","Actual","03/26/2017","Actual",,,,,"09/28/2015",,,"06/25/2017","Public",,,,,,"06/06/2017","06/06/2017","ro_name_BJB
ro_name_BJB@email.com","lu_name_BE
lu_name_BE@email.com","[Sponsor]","cc_name_GIE
cc_name_GIE@email.com
555-555-5555","so_name_CEI","University",,"Public Site Status","09/28/2015","06/06/2017",,,,,,,
"524",33,608,"Title 44","Completed","Interventional","N/A","Behavioral; Other",,,,,"01/23/2015","05/25/2020","Actual","05/25/2020","Actual",,,,,"12/20/2014",,,"07/26/2021","Public","NIDDK; NIH",,,,,"07/21/2021","07/21/2021","ro_name_DGF
ro_name_DGF@email.com","lu_name_AAB
lu_name_AAB@email.com","[Sponsor]","cc_name_EFD
cc_name_EFD@email.com
555-555-5555","so_name_HEJ","University","National Institutes of Health (NIH)
National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK)","Public Site Status","12/20/2014","07/21/2021",,,,,,,
"525",,591,"Title 505","Terminated","Interventional","Phase 1","Drug",,,,,"11/23/2014","09/23/2017","Actual","09/23/2017","Actual",,,,,"11/09/2014",,,"04/25/2019","Public",,,,,,"04/30/2019","04/30/2019","ro_name_CCJ
ro_name_CCJ@email.com","lu_name_AAB
lu_name_AAB@email.com","[Sponsor]","cc_name_DG
cc_name_DG@email.com
555-555-5555","so_name_EHE","University","Tourette Association of America","Public Site Status","11/09/2014","04/30/2019",,,,,,,
"526",,616,"Title 948","Completed","Interventional","Phase 1","Drug",,,,,"01/23/2015","03/25/2020","Actual","03/25/2020","Actual",,,,,"12/30/2014",,,"04/25/2021","Public",,,,,,"04/07/2021","04/07/2021","ro_name_DDB
ro_name_DDB@email.com","lu_name_AAB
lu_name_AAB@email.com","[Sponsor]","cc_name_DGB
cc_name_DGB@email.com
555-555-5555","so_name_GIE","University",,"Public Site Status","12/30/2014","04/07/2021",,,,,,,
